Respondent ID,Age,Gender,Favorite Toy,Play Frequency,Play Context,Toy Discovery,Seasonal Interest,Digital vs. Physical,Character Connection,New Toy Interest,Play Duration,Play Space,Purchase Decision Factors,Purchase Channels,Budget Allocation (£/yr),Advertising Impact Channels,Developmental Benefits,Brand Perceptions,Sustainability Importance,Digital Balance,Long-Term Value,Trend Awareness Sources
R024,4,Female,Play-Doh,Less often,Mixed,TV ad,Seasonal,Physical only,Spider-Man,Transformers,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",250,"Parent forums, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Teachers, Parent forums"
R025,9,Male,Hot Wheels,Daily,Solo play,Social media,Seasonal,Digital mostly,Paw Patrol,Nintendo Switch,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Argos",250,"In-store displays, TV","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Low (1),"Parent forums, YouTube"
R026,4,Female,Transformers,Daily,Solo play,TV ad,Weather-dependent,Physical only,Peppa Pig,LEGO Minecraft,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",150,"Parent forums, Social media","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Low (1),"Parent forums, Teachers"
R027,7,Male,Hot Wheels,Several times/week,Family play,Gift from friend,Seasonal,Digital mostly,Mario,Barbie Doll,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",350,"Social media, Parent forums","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Low (1),"YouTube, Newsletters"
R028,8,Female,Fisher-Price Piano,Less often,Family play,Social media,Seasonal,Mix of both,Bluey,LOL Surprise,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",250,"Parent forums, Social media","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Parent forums, Instagram"
R029,8,Female,Barbie Doll,Daily,Solo play,YouTube ad,Seasonal,Physical only,Paw Patrol,Transformers,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Argos",350,"In-store displays, Parent forums","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Medium (3),"Instagram, Parent forums"
R030,2,Female,Transformers,Weekly,Peer play,Store display,Year-round,Digital mostly,Sonic the Hedgehog,Hot Wheels,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",350,"Social media, In-store displays","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Low (1),"Teachers, Newsletters"
R031,8,Male,Fisher-Price Piano,Weekly,Peer play,Store display,Occasion-based,Digital mostly,Peppa Pig,LEGO Minecraft,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",200,"TV, In-store displays","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Teachers, Instagram"
R032,3,Male,Nintendo Switch,Several times/week,Solo play,Store display,Seasonal,Mix of both,Sonic the Hedgehog,Nintendo Switch,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"In-store displays, Social media","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"YouTube, Newsletters"
R033,6,Male,LEGO Minecraft,Less often,Solo play,Social media,Seasonal,Mix of both,Elsa (Frozen),LEGO Minecraft,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",250,"In-store displays, Social media","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"YouTube, Newsletters"
R034,8,Male,Hot Wheels,Daily,Peer play,Store display,Weather-dependent,Physical only,Bluey,Fisher-Price Piano,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",250,"In-store displays, YouTube","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Teachers, Instagram"
R035,5,Female,Nintendo Switch,Daily,Solo play,YouTube ad,Seasonal,Mix of both,Mario,LOL Surprise,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",300,"Social media, TV","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,Medium (3),"YouTube, Newsletters"
R036,7,Male,Cocomelon Set,Daily,Peer play,Store display,Seasonal,Digital mostly,Mario,Play-Doh,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",100,"In-store displays, TV","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,High (5),"Teachers, YouTube"
R037,9,Male,LEGO Minecraft,Less often,Family play,Social media,Weather-dependent,Mix of both,Paw Patrol,Barbie Doll,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",350,"Parent forums, In-store displays","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"YouTube, Teachers"
R038,7,Male,LOL Surprise,Less often,Peer play,Social media,Seasonal,Physical only,Mario,Fisher-Price Piano,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",350,"TV, In-store displays","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Parent forums, YouTube"
R039,2,Male,LOL Surprise,Several times/week,Solo play,YouTube ad,Year-round,Mix of both,Mario,LOL Surprise,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",200,"YouTube, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Newsletters, Teachers"
R040,3,Female,Nintendo Switch,Less often,Family play,YouTube ad,Weather-dependent,Mix of both,Peppa Pig,Hot Wheels,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Amazon",200,"TV, In-store displays","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Newsletters, Parent forums"
R041,4,Male,Play-Doh,Daily,Peer play,TV ad,Weather-dependent,Digital mostly,Mario,Nintendo Switch,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",100,"TV, Social media","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Teachers, Newsletters"
R042,6,Male,Barbie Doll,Several times/week,Solo play,Gift from friend,Seasonal,Physical only,Elsa (Frozen),LOL Surprise,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",300,"In-store displays, YouTube","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Instagram, YouTube"
R043,5,Female,Fisher-Price Piano,Less often,Family play,Store display,Occasion-based,Physical only,Spider-Man,Nintendo Switch,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",350,"Social media, YouTube","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Instagram, Teachers"
R044,2,Male,Cocomelon Set,Less often,Solo play,Gift from friend,Weather-dependent,Digital mostly,Sonic the Hedgehog,Transformers,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",150,"In-store displays, Parent forums","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"Parent forums, YouTube"
R045,6,Female,Nintendo Switch,Less often,Mixed,TV ad,Year-round,Mix of both,Elsa (Frozen),Cocomelon Set,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",100,"Social media, YouTube","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Low (1),"Teachers, Instagram"
R046,2,Male,Cocomelon Set,Less often,Solo play,Social media,Year-round,Digital mostly,Sonic the Hedgehog,LOL Surprise,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Argos",150,"YouTube, Parent forums","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Teachers, Instagram"
R047,8,Female,LOL Surprise,Several times/week,Mixed,Store display,Year-round,Digital mostly,Paw Patrol,Nintendo Switch,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",300,"In-store displays, Social media","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,High (5),"YouTube, Parent forums"
R048,7,Female,Transformers,Less often,Peer play,TV ad,Occasion-based,Mix of both,Mario,Cocomelon Set,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Argos",350,"Social media, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Instagram, YouTube"
R049,7,Female,Barbie Doll,Daily,Family play,TV ad,Seasonal,Physical only,Sonic the Hedgehog,LEGO Minecraft,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Amazon",100,"In-store displays, TV","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"Instagram, Newsletters"
R050,3,Female,Nintendo Switch,Weekly,Mixed,Social media,Occasion-based,Physical only,Minions,Hot Wheels,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",150,"Parent forums, In-store displays","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,Medium (3),"Teachers, Newsletters"
R051,3,Male,Nintendo Switch,Weekly,Mixed,Social media,Weather-dependent,Mix of both,Elsa (Frozen),Barbie Doll,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",100,"YouTube, Social media","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"YouTube, Newsletters"
R052,8,Male,Fisher-Price Piano,Several times/week,Solo play,Gift from friend,Year-round,Physical only,Spider-Man,Nintendo Switch,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Amazon",350,"Social media, Parent forums","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Parent forums, Instagram"
R053,2,Male,Transformers,Less often,Mixed,Store display,Seasonal,Digital mostly,Bluey,Fisher-Price Piano,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",300,"Social media, Parent forums","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Medium (3),"YouTube, Teachers"
R054,4,Female,Barbie Doll,Less often,Family play,Store display,Year-round,Digital mostly,Minions,Play-Doh,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",350,"YouTube, In-store displays","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Instagram, Parent forums"
R055,9,Male,Nintendo Switch,Weekly,Mixed,Gift from friend,Occasion-based,Physical only,Elsa (Frozen),Play-Doh,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Argos",200,"YouTube, Parent forums","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,High (5),"Newsletters, Parent forums"
R056,6,Male,Fisher-Price Piano,Several times/week,Solo play,Store display,Year-round,Digital mostly,Minions,Nintendo Switch,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",100,"YouTube, Social media","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Instagram, Teachers"
R057,3,Female,LEGO Minecraft,Less often,Peer play,YouTube ad,Weather-dependent,Digital mostly,Spider-Man,Transformers,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",350,"YouTube, TV","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"Teachers, Instagram"
R058,5,Female,Play-Doh,Weekly,Family play,Social media,Weather-dependent,Mix of both,Paw Patrol,Play-Doh,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",150,"Social media, YouTube","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Instagram, Parent forums"
R059,2,Male,Fisher-Price Piano,Several times/week,Family play,YouTube ad,Seasonal,Physical only,Sonic the Hedgehog,Barbie Doll,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Amazon",250,"Social media, TV","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"Instagram, YouTube"
R060,7,Male,Fisher-Price Piano,Less often,Mixed,YouTube ad,Weather-dependent,Physical only,Spider-Man,LOL Surprise,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Tesco, Argos",100,"YouTube, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,High (5),"Teachers, YouTube"
R061,2,Female,Nintendo Switch,Weekly,Family play,Social media,Occasion-based,Mix of both,Peppa Pig,Nintendo Switch,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",200,"TV, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,High (5),"Instagram, Parent forums"
R062,9,Female,Fisher-Price Piano,Weekly,Mixed,TV ad,Occasion-based,Physical only,Bluey,Barbie Doll,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",350,"In-store displays, YouTube","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,High (5),"Parent forums, YouTube"
R063,5,Male,LEGO Minecraft,Daily,Solo play,YouTube ad,Seasonal,Physical only,Peppa Pig,Hot Wheels,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",250,"In-store displays, YouTube","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"Parent forums, Instagram"
R064,7,Female,Transformers,Daily,Family play,TV ad,Year-round,Digital mostly,Sonic the Hedgehog,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",200,"TV, Parent forums","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Medium (3),"YouTube, Parent forums"
R065,3,Female,Cocomelon Set,Less often,Mixed,Store display,Year-round,Physical only,Elsa (Frozen),Cocomelon Set,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",300,"Social media, TV","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Instagram, Newsletters"
R066,7,Female,Barbie Doll,Weekly,Solo play,Gift from friend,Seasonal,Mix of both,Mario,Hot Wheels,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Argos, Smyths",100,"Social media, TV","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Instagram, Newsletters"
R067,4,Female,Cocomelon Set,Weekly,Peer play,TV ad,Occasion-based,Mix of both,Mario,Hot Wheels,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",150,"In-store displays, YouTube","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"Parent forums, Instagram"
R068,4,Female,Nintendo Switch,Several times/week,Peer play,TV ad,Year-round,Physical only,Peppa Pig,LOL Surprise,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Argos",300,"In-store displays, TV","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Low (1),"Newsletters, Instagram"
R069,6,Male,Barbie Doll,Several times/week,Family play,Store display,Year-round,Digital mostly,Sonic the Hedgehog,LOL Surprise,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Tesco",150,"Social media, In-store displays","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Low (1),"Teachers, Parent forums"
R070,7,Female,Transformers,Daily,Family play,Social media,Year-round,Digital mostly,Bluey,Fisher-Price Piano,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",150,"Social media, TV","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"YouTube, Parent forums"
R071,7,Female,Hot Wheels,Several times/week,Mixed,Social media,Year-round,Digital mostly,Elsa (Frozen),Fisher-Price Piano,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Argos",250,"Social media, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,High (5),"Teachers, YouTube"
R072,7,Male,LEGO Minecraft,Less often,Peer play,Social media,Seasonal,Mix of both,Bluey,Fisher-Price Piano,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",150,"YouTube, TV","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Low (1),"Teachers, Newsletters"
R073,5,Female,Cocomelon Set,Weekly,Peer play,Social media,Year-round,Digital mostly,Paw Patrol,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",250,"TV, YouTube","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Medium (3),"Instagram, Newsletters"
R074,2,Male,Transformers,Several times/week,Mixed,Social media,Seasonal,Mix of both,Paw Patrol,LEGO Minecraft,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",200,"YouTube, TV","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Medium (3),"YouTube, Instagram"
R075,7,Male,LOL Surprise,Weekly,Solo play,TV ad,Seasonal,Physical only,Elsa (Frozen),Nintendo Switch,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",350,"Parent forums, YouTube","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),50/50 balance,High (5),"Teachers, YouTube"
R076,2,Female,Play-Doh,Weekly,Mixed,Store display,Weather-dependent,Digital mostly,Sonic the Hedgehog,Play-Doh,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",350,"TV, Social media","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Instagram, Newsletters"
